arc_length,Mach_Magnitude,p
0.00000000,0.33418991,22460.62109375
0.00110000,0.33418991,22617.23828125
0.00219999,0.33418991,22773.85742188
0.00330001,0.57040596,22939.25195312
0.00440000,0.52431160,23013.71289062
0.00550000,0.52431160,23057.63281250
0.00659999,0.52431160,23101.55078125
0.00770000,0.54249535,23201.45898438
0.00880000,0.54249535,23303.72070312
0.00990000,0.52224843,23401.50781250
0.01100000,0.50074595,23516.68554688
0.01210001,0.50074595,23642.12695312
0.01320000,0.53701432,23758.01953125
0.01430000,0.52938744,23887.70703125
0.01540000,0.50491992,24019.53906250
0.01650001,0.50404832,24149.42578125
0.01760000,0.50404832,24278.77929688
0.01870000,0.52036336,24394.65820312
0.01980000,0.50811262,24527.46093750
0.02090001,0.50811262,24654.39062500
0.02200001,0.51974027,24778.64453125
0.02310000,0.51635183,24847.05468750
0.02420000,0.51635183,24916.20703125
0.02530001,0.51635183,24985.35937500
0.02640001,0.51017538,25057.31445312
0.02750000,0.52576798,25121.86718750
0.02860000,0.52576798,25136.52929688
0.02970000,0.53190125,25222.23046875
0.03080001,0.53190125,25325.75585938
0.03189999,0.53190125,25429.27929688
0.03300001,0.51670609,25505.93554688
0.03410001,0.51997441,25559.20703125
0.03520001,0.51997441,25614.63476562
0.03630001,0.52822574,25667.08203125
0.03740000,0.51242502,25739.32031250
0.03850000,0.51242502,25828.42382812
0.03960000,0.51242502,25917.52734375
0.04069999,0.51415755,25995.36523438
0.04180002,0.52288895,26049.52734375
0.04290001,0.52288895,26084.75585938
0.04400001,0.52444594,26114.93945312
0.04510001,0.52444594,26131.08984375
0.04620000,0.52444594,26147.24023438
0.04730000,0.52272969,26168.32421875
0.04840000,0.50783828,26201.21484375
0.04949999,0.50783828,26235.77734375
0.05060002,0.50783828,26270.33984375
0.05170002,0.50347127,26374.61914062
0.05280001,0.50347127,26528.03320312
0.05390001,0.51028885,26688.02929688
0.05500001,nan,nan
