arc_length,Mach_Magnitude,p
0.00000000,0.15158371,41723.80468750
0.00110000,0.18350148,41723.64062500
0.00220000,0.18350148,41721.67968750
0.00330000,0.19204695,41729.95312500
0.00440000,0.19204695,41738.54687500
0.00550000,0.18856713,41742.26562500
0.00660000,0.18651782,41742.03906250
0.00770000,0.18257159,41744.18359375
0.00880000,0.18257159,41745.53125000
0.00990000,0.18325031,41746.65234375
0.01100000,0.18300477,41744.49609375
0.01209999,0.18300477,41741.92187500
0.01320000,0.18300477,41739.34765625
0.01429999,0.18185435,41736.22265625
0.01540001,0.17838272,41734.54687500
0.01649999,0.17787480,41733.06640625
0.01760001,0.17787480,41730.66796875
0.01869999,0.17787480,41728.26562500
0.01980001,0.17787480,41725.86328125
0.02089999,0.17787480,41723.46484375
0.02200000,0.17873091,41720.92187500
0.02309999,0.17873091,41718.35156250
0.02420000,0.17873091,41715.78515625
0.02529999,0.17873091,41713.21875000
0.02640000,0.17873091,41710.64843750
0.02749999,0.17926887,41708.35156250
0.02860000,0.17986172,41705.69140625
0.02969999,0.17986172,41703.19921875
0.03080000,0.17966238,41700.67968750
0.03189998,0.17966238,41698.08984375
0.03300000,0.17966238,41695.50390625
0.03409998,0.18010289,41692.66406250
0.03520000,0.18010289,41689.51953125
0.03629998,0.18090544,41685.58593750
0.03740000,0.18140361,41680.78515625
0.03849998,0.18140361,41677.52734375
0.03960000,0.18140361,41674.27343750
0.04069998,0.18211375,41674.31640625
0.04180000,0.18195528,41669.52343750
0.04289998,0.18195528,41663.56640625
0.04400000,0.18399677,41660.51562500
0.04509998,0.18399677,41660.10546875
0.04620000,0.18577628,41659.50000000
0.04729998,0.18577628,41656.55859375
0.04840000,0.18451858,41656.27343750
0.04949998,0.18118461,41662.45703125
0.05059999,0.18118461,41663.45312500
0.05169998,0.16174266,41664.67187500
0.05279999,0.16174266,41666.08593750
0.05389998,0.16174266,41667.50000000
0.05499999,nan,nan
